Loading net-file from 'C:\Users\P14s\OneDrive\Desktop\bk\vn.net.xml' ... done (30ms).
Loading additional-files from 'C:\Users\P14s\OneDrive\Desktop\bk\vtype.xml' ... done (2ms).
Loading route-files incrementally from 'C:\Users\P14s\OneDrive\Desktop\bk\full_routes.xml'
Loading done.
Simulation started with time: 0.00.
Warning: Vehicle 'peak_morning_we_bot_moto.15' performs emergency braking on lane 'J7_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=71.70.
Warning: Vehicle 'peak_morning_we_bot_moto.10' performs emergency braking on lane 'J7_to_J8_1' with decel=10.00, wished=4.50, severity=1.00, time=71.90.
Warning: Vehicle 'base_sn_left_moto.2' performs emergency braking on lane 'J4_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=73.00.
Warning: Vehicle 'base_ew_bot_moto.17' performs emergency braking on lane 'J9_to_J8_0' with decel=10.00, wished=4.50, severity=1.00, time=73.10.
Warning: Vehicle 'base_ns_left_moto.19' performs emergency braking on lane 'N_out_1_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=73.80.
Warning: Vehicle 'base_sn_right_moto.5' performs emergency braking on lane 'J6_to_J3_1' with decel=10.00, wished=4.50, severity=1.00, time=73.90.
Warning: Vehicle 'base_we_top_moto.0' performs emergency braking on lane ':J2_17_1' with decel=10.00, wished=4.50, severity=1.00, time=74.10.
Warning: Vehicle 'peak_morning_we_top_moto.17' performs emergency braking on lane 'J1_to_J2_0' with decel=10.00, wished=4.50, severity=1.00, time=75.90.
Warning: Vehicle 'base_ns_left_moto.19' performs emergency braking on lane 'N_out_1_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=76.40.
Warning: Vehicle 'base_ew_top_moto.12' performs emergency braking on lane 'J2_to_J1_1' with decel=10.00, wished=4.50, severity=1.00, time=77.30.
Warning: Vehicle 'base_we_bot_moto.6' performs emergency braking on lane 'J7_to_J8_1' with decel=10.00, wished=4.50, severity=1.00, time=78.30.
Warning: Vehicle 'peak_morning_we_bot_moto.29' performs emergency braking on lane 'N_out_7_to_J7_0' with decel=10.00, wished=4.50, severity=1.00, time=79.80.
Warning: Vehicle 'base_we_top_moto.5' performs emergency braking on lane ':J2_17_0' with decel=10.00, wished=4.50, severity=1.00, time=80.10.
